epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.75128,0.66552,0.63077,1,0.78135,0.00026208,0.00026208,0.0682621
2,11.8494,0.61912,0.64615,1,0.61753,0.000499039,0.000499039,0.035499
3,15.5193,0.54914,0.66923,1,0.69829,0.000702173,0.000702173,0.00270217
4,19.1433,0.62193,0.60769,1,0.63086,0.000665255,0.000665255,0.000665255
5,22.7801,0.61385,0.72308,1,0.68193,0.000614007,0.000614007,0.000614007
6,28.3135,0.55188,0.59231,1,0.8751,0.000562758,0.000562758,0.000562758
7,33.0143,0.52525,0.68462,1,0.70332,0.00051151,0.00051151,0.00051151
8,37.7069,0.49617,0.71538,1,0.70845,0.000460262,0.000460262,0.000460262
9,41.3908,0.4865,0.65385,1,0.51604,0.000409013,0.000409013,0.000409013
10,50.717,0.42361,0.7,1,0.60909,0.000357765,0.000357765,0.000357765
