epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.637,0.6921,0.65385,1,0.60518,0.00026208,0.00026208,0.0682621
2,8.95375,0.63618,0.68462,1,0.48879,0.000499039,0.000499039,0.035499
3,12.3507,0.59079,0.71538,1,0.57998,0.000702173,0.000702173,0.00270217
4,15.9055,0.58864,0.7,1,0.56187,0.000665255,0.000665255,0.000665255
5,19.1925,0.54438,0.73077,1,0.52573,0.000614007,0.000614007,0.000614007
6,26.0257,0.52411,0.69231,1,0.63066,0.000562758,0.000562758,0.000562758
7,29.4521,0.5268,0.73077,1,0.56357,0.00051151,0.00051151,0.00051151
8,32.9019,0.51659,0.79231,1,0.56846,0.000460262,0.000460262,0.000460262
9,36.3671,0.50178,0.75385,1,0.51602,0.000409013,0.000409013,0.000409013
10,39.5388,0.47791,0.69231,1,0.55704,0.000357765,0.000357765,0.000357765
11,42.7629,0.44744,0.74615,1,0.50505,0.000306517,0.000306517,0.000306517
12,46.2506,0.39312,0.80769,1,0.69517,0.000255268,0.000255268,0.000255268
13,49.7764,0.34005,0.77692,1,0.62725,0.00020402,0.00020402,0.00020402
14,53.1967,0.25595,0.78462,1,0.45446,0.000152772,0.000152772,0.000152772
15,59.2871,0.29463,0.77692,1,0.49458,0.000101523,0.000101523,0.000101523
